,RoILeft,RoITop,RoIWidth,RoIHeight,RoILaplacian,blobArea,blobPerimeter,blobAvgIntensity
0,1846,177,110,213,4060,1,642,97
1,936,485,214,15,1657,29,8,155
2,1194,488,244,15,1529,24,1,149
3,878,514,299,198,3580,6,1,156
4,1185,515,45,181,1049,23,1,154
5,1233,523,199,176,1518,7,43,149
6,902,592,250,104,1586,10,2,157
7,1186,707,211,16,1657,34,1,153
8,901,712,240,8,904,38,478,160
9,1154,720,21,257,2412,18,703,162
10,785,727,81,246,989,8,6,156
11,876,728,14,221,1182,23,34,162
12,898,728,253,246,2353,5,1,158
13,1182,731,155,247,1570,7,2,159
14,1466,782,11,196,779,41,1,150
15,1846,1297,110,172,3419,1,560,103
16,1846,1689,110,184,3395,0,584,85
