,RoILeft,RoITop,RoIWidth,RoIHeight,RoILaplacian,blobArea,blobPerimeter,blobAvgIntensity
0,1188,292,9,12,72,14,27,106
1,1171,294,10,6,32,12,20,107
2,1283,294,8,12,67,20,27,104
3,1605,295,12,10,79,16,30,100
4,1731,295,10,10,75,23,27,106
5,831,297,10,10,72,17,28,110
6,393,299,12,12,100,96,33,127
7,1315,298,16,17,148,22,48,108
8,1509,303,7,15,47,6,36,94
9,650,306,17,22,145,12,52,109
10,899,306,8,12,69,22,26,115
11,359,309,8,7,36,13,17,98
12,1281,311,36,22,290,14,3,108
13,319,312,14,12,93,15,38,106
14,771,313,10,11,90,80,28,114
15,818,313,9,13,82,31,31,108
16,1588,312,9,9,52,12,22,94
17,1733,313,10,11,72,14,30,106
18,275,315,14,12,117,12,38,105
19,1245,315,8,8,49,13,21,100
20,1359,316,12,11,86,18,29,110
21,1516,319,5,10,36,4,20,91
22,381,320,11,10,68,12,27,101
23,1113,323,12,10,79,21,26,105
24,610,325,16,12,127,27,38,112
25,731,325,36,10,228,20,75,108
26,667,326,12,17,95,11,45,102
27,1247,326,19,14,133,12,49,105
28,1374,330,8,10,56,11,23,106
29,1560,334,14,10,90,11,1,98
30,1672,334,21,16,168,22,59,104
31,1708,335,16,12,122,20,37,102
32,820,336,14,12,99,27,32,109
33,273,341,43,17,242,6,118,101
34,318,341,8,7,35,7,18,91
35,758,341,10,9,56,14,25,101
36,886,342,10,12,83,46,30,117
37,1068,345,12,10,83,20,30,103
38,368,353,11,7,43,6,21,95
39,1334,357,8,16,93,33,32,106
40,1586,359,12,10,78,23,26,98
41,706,360,14,10,83,18,36,102
42,1076,363,17,10,110,19,35,104
43,774,364,12,12,90,20,32,101
44,1606,364,10,10,69,20,26,96
45,1164,369,11,13,84,12,30,103
46,846,371,12,11,92,23,29,105
47,1346,371,18,9,129,13,42,106
48,658,373,35,12,261,37,78,115
49,1321,373,11,11,84,14,28,104
50,304,374,23,21,166,5,1,100
51,426,376,10,10,84,44,29,115
52,701,379,20,16,141,12,44,106
53,728,378,9,9,58,18,24,100
54,867,379,9,8,37,15,17,103
55,1245,378,8,9,52,17,21,99
56,357,380,18,13,94,7,41,99
57,819,382,7,7,33,13,20,103
58,1741,382,12,10,84,22,29,108
59,643,385,14,11,104,19,34,109
60,781,386,10,15,110,44,35,114
61,815,390,22,15,154,21,1,110
62,867,390,14,13,135,125,38,130
63,611,394,20,8,48,5,47,92
64,1097,395,12,10,88,99,28,118
65,1717,401,8,10,53,18,21,96
66,1327,403,8,10,57,18,26,100
67,659,405,10,11,85,23,29,107
68,1695,404,12,19,114,16,44,101
69,677,406,29,20,258,25,85,116
70,1583,407,12,14,119,68,38,116
71,1511,408,10,9,68,18,25,100
72,1103,410,10,9,69,32,25,104
73,1183,410,12,11,88,25,29,101
74,1151,412,14,12,107,53,35,116
75,281,415,10,10,59,12,25,97
76,1238,415,17,13,106,12,42,98
77,1273,414,10,9,77,41,27,103
78,1711,417,11,11,86,32,28,106
79,655,421,10,10,71,17,24,104
80,608,422,9,6,36,7,20,84
81,1288,430,10,14,94,21,30,104
82,1203,432,37,15,274,25,84,114
83,1726,433,7,12,59,15,28,98
84,638,434,10,11,74,16,27,102
85,819,437,11,12,90,169,29,134
86,844,441,20,32,285,37,1,121
87,370,444,8,13,76,4,32,99
88,809,444,15,17,157,196,12,156
89,256,451,10,10,65,20,28,97
90,346,450,8,11,63,15,26,99
91,1212,454,15,28,198,23,61,109
92,1548,455,11,30,211,41,71,110
93,1091,456,17,9,97,32,40,106
94,1600,457,8,8,52,16,21,97
95,1080,462,11,10,65,13,26,104
96,1682,462,11,8,57,7,28,94
97,1248,469,13,10,88,24,32,102
98,1362,468,14,12,104,14,32,108
99,674,473,17,15,131,14,40,109
100,250,474,17,11,106,15,38,99
101,1649,478,10,11,77,17,29,98
102,1689,482,6,11,51,5,31,92
103,1321,487,10,10,72,29,31,100
104,1705,493,12,15,119,42,35,115
105,807,495,12,8,76,25,27,105
106,1197,495,12,10,79,38,26,103
107,1303,494,10,11,80,19,28,99
108,263,497,10,10,67,16,26,96
109,379,498,11,10,59,6,29,97
110,897,498,14,12,108,16,37,113
111,1239,498,12,9,76,22,27,102
112,652,502,11,10,68,27,24,106
113,697,503,10,13,96,33,32,108
114,1335,504,10,10,73,46,32,106
115,409,510,12,8,72,20,28,101
116,430,657,9,13,73,8,30,115
117,1068,658,10,12,74,10,30,106
118,1086,659,10,9,66,19,27,108
119,1304,658,11,10,57,8,25,101
120,710,662,12,10,77,13,26,113
121,1650,663,18,9,105,24,37,104
122,782,664,10,9,75,23,26,109
123,1103,665,13,10,90,29,32,110
124,799,666,13,17,136,23,41,120
125,905,671,10,12,79,12,32,115
126,1579,673,20,14,153,14,48,102
127,747,674,14,9,95,18,31,107
128,821,680,22,16,177,30,65,114
129,1546,681,9,12,80,50,28,101
130,1319,683,10,20,136,18,48,101
131,341,687,13,10,77,14,31,97
132,734,691,31,18,227,14,1,112
133,1178,690,24,31,263,12,82,113
134,416,692,13,7,57,15,28,99
135,307,694,12,11,80,19,31,98
136,373,696,16,10,108,21,37,101
137,1532,697,29,38,328,8,1,104
138,1699,696,10,8,50,9,21,96
